[ 2017-03-29T14:01:49+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | INFO: Tag[ route_check ] --START--
[ 2017-03-29T14:01:49+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2017-03-29T14:01:49+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001000s ]
[ 2017-03-29T14:01:49+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-03-29T14:01:49+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | INFO: Tag[ app_begin ] --START--
[ 2017-03-29T14:01:49+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2017-03-29T14:01:49+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2017-03-29T14:01:49+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | SQL: select a.column_name,data_type,decode(nullable,'Y',0,1) notnull,data_default,decode(a.column_name,b.column_name,1,0) pk from user_tab_columns a,(select column_name from user_constraints c,user_cons_columns col where c.constraint_name=col.constraint_name and c.constraint_type='P'and c.table_name='ERP_CITY') b where table_name='ERP_CITY' and a.column_name=b.column_name(+) [ RunTime:0.000000s ]
[ 2017-03-29T14:01:49+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 699 行.
[ 2017-03-29T14:01:49+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | SQL: SELECT * FROM (SELECT thinkphp.*, rownum AS numrow FROM (SELECT   * FROM erp_city WHERE ISVALID=-1 AND ID = 1) thinkphp )  WHERE (numrow>0 AND numrow<=1) [ RunTime:0.000000s ]
[ 2017-03-29T14:01:49+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 699 行.
[ 2017-03-29T14:01:49+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | SQL: SELECT * FROM (SELECT thinkphp.*, rownum AS numrow FROM (SELECT   * FROM erp_city WHERE ISVALID=-1) thinkphp )  [ RunTime:0.000000s ]
[ 2017-03-29T14:01:49+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | SQL: select a.column_name,data_type,decode(nullable,'Y',0,1) notnull,data_default,decode(a.column_name,b.column_name,1,0) pk from user_tab_columns a,(select column_name from user_constraints c,user_cons_columns col where c.constraint_name=col.constraint_name and c.constraint_type='P'and c.table_name='ERP_GROUP') b where table_name='ERP_GROUP' and a.column_name=b.column_name(+) [ RunTime:0.000000s ]
[ 2017-03-29T14:01:49+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 699 行.
[ 2017-03-29T14:01:49+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | SQL: SELECT * FROM (SELECT thinkphp.*, rownum AS numrow FROM (SELECT   * FROM erp_group WHERE LOAN_GROUPID='2' and LOAN_GROUPSTATUS=1 and LOAN_GROUPDEL=0) thinkphp )  WHERE (numrow>0 AND numrow<=1) [ RunTime:0.000000s ]
[ 2017-03-29T14:01:49+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | SQL: select a.column_name,data_type,decode(nullable,'Y',0,1) notnull,data_default,decode(a.column_name,b.column_name,1,0) pk from user_tab_columns a,(select column_name from user_constraints c,user_cons_columns col where c.constraint_name=col.constraint_name and c.constraint_type='P'and c.table_name='ERP_ROLE') b where table_name='ERP_ROLE' and a.column_name=b.column_name(+) [ RunTime:0.000000s ]
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 699 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | SQL: SELECT * FROM (SELECT thinkphp.*, rownum AS numrow FROM (SELECT   * FROM erp_role WHERE  LOAN_ROLECONTROL='FormSet' and LOAN_ROLEACTION='Field' and LOAN_ROLEDISPLAY=0 and LOAN_PARAM is not null ) thinkphp )  [ RunTime:0.000000s ]
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 699 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | SQL: SELECT * FROM (SELECT thinkphp.*, rownum AS numrow FROM (SELECT   * FROM erp_role WHERE   LOAN_ROLECONTROL='FormSet' and LOAN_ROLEACTION='Field' AND LOAN_ROLEDISPLAY=0 and LOAN_PARAM is null ) thinkphp )  [ RunTime:0.000000s ]
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [2] Missing argument 1 for Form::__construct(), called in D:\wamp64\www\branches\oms-2.7.0\adminpack\Lib\Action\Admin\FormSetAction.class.php on line 19 and defined Form.php 第 136 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Use of undefined constant Field - assumed 'Field' Form.php 第 142 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: fromurl FormSetAction.class.php 第 20 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: childrenformno Form.php 第 531 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | SQL: select * from FORM  where FORMNO=62 [ RunTime:0.000000s ]
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | SQL: select * from FORMLIST where FORMNO =62 order by GRIDQUEUE ASC [ RunTime:0.000000s ]
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: parentchooseid Form.php 第 555 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: faction Form.php 第 660 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: faction Form.php 第 662 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: faction Form.php 第 664 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: faction Form.php 第 666 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: faction Form.php 第 669 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: faction Form.php 第 671 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: faction Form.php 第 673 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: faction Form.php 第 675 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: faction Form.php 第 677 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: showForm Form.php 第 681 行.
